systemTime,severity,tag,timestamp,x,y,z
2023-03-22T14:29:04.655Z,log,info,1679488144655,sn2302043001J2,v118,
2023-03-22T14:29:04.655Z,log,calib,1679488144656,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[28.3774,22.667,-6.09057],""Sacc1"":[0.0011966,3.14093e-07,-3.44727e-06,3.09461e-07,0.001186,1.72746e-06,-3.4511e-06,1.75526e-06,0.00120116],""b_acc1"":[-22.9619,-40.3069,24.2217],""Smag1"":[0.000470173,-0.0789141,0.00282888,0.080908,0.00169065,-0.00221583,0.00212042,0.00239226,0.0825976],""b_mag1"":[-283.998,170.574,310.836],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[190.694,165.669,216.251],""gyro1_noise"":[3.35535,2.63462,2.27818],""mag1_noise"":[2.07447,2.45742,2.95155],""version"":2}",
2023-03-22T14:29:16.642Z,log,mag_temp,14020050,0.0,,
2023-03-22T14:29:16.642Z,log,acc_temp,14020050,27.6,,
2023-03-22T14:29:16.642Z,log,gyro_temp,14020050,27.6,,
2023-03-22T14:29:16.642Z,log,acc,14020050,-674,-7450,-174
2023-03-22T14:29:16.642Z,log,gyro,14020050,-930,1123,594
2023-03-22T14:29:16.642Z,log,acc,14029418,-801,-8265,-167
2023-03-22T14:29:16.642Z,log,gyro,14029418,-46,-692,-292
2023-03-22T14:29:16.642Z,log,acc,14038757,-804,-8162,-152
2023-03-22T14:29:16.642Z,log,gyro,14038757,538,-828,-522
2023-03-22T14:29:16.642Z,log,acc,14048126,-760,-8086,-187
2023-03-22T14:29:16.642Z,log,gyro,14048126,-172,-133,1205
2023-03-22T14:29:16.642Z,log,mag,14048217,-31999,-31999,-31999
2023-03-22T14:29:16.649Z,log,acc,14057464,-738,-8025,-229
2023-03-22T14:29:16.649Z,log,gyro,14057464,-115,-355,191
2023-03-22T14:29:16.649Z,log,acc,14066833,-703,-7988,-218
2023-03-22T14:29:16.649Z,log,gyro,14066833,-248,-566,-561
2023-03-22T14:29:16.667Z,log,acc,14076202,-661,-7974,-220
2023-03-22T14:29:16.667Z,log,gyro,14076202,-509,-604,-458
2023-03-22T14:29:16.667Z,log,acc,14085540,-607,-7989,-237
2023-03-22T14:29:16.667Z,log,gyro,14085540,-787,-588,-358
2023-03-22T14:29:16.667Z,log,mag,14085632,-376,-436,3
2023-03-22T14:29:16.689Z,log,acc,14094909,-609,-8107,-325
2023-03-22T14:29:16.689Z,log,gyro,14094909,-1056,-496,-281
2023-03-22T14:29:16.689Z,log,acc,14104248,-729,-8319,-452
2023-03-22T14:29:16.689Z,log,gyro,14104248,-1297,-284,-293
2023-03-22T14:29:16.689Z,log,acc,14113616,-858,-8411,-526
2023-03-22T14:29:16.689Z,log,gyro,14113616,-1516,50,-429
2023-03-22T14:29:16.707Z,log,acc,14122955,-951,-8476,-492
2023-03-22T14:29:16.707Z,log,gyro,14122955,-1701,439,-648
2023-03-22T14:29:16.707Z,log,mag,14123077,-378,-442,0
2023-03-22T14:29:16.707Z,log,acc,14132324,-1024,-8506,-387
2023-03-22T14:29:16.707Z,log,gyro,14132324,-1828,782,-866
2023-03-22T14:29:16.729Z,log,acc,14141693,-1120,-8478,-238
2023-03-22T14:29:16.729Z,log,gyro,14141693,-1912,999,-1039
2023-03-22T14:29:16.729Z,log,acc,14151031,-1194,-8437,-67
2023-03-22T14:29:16.729Z,log,gyro,14151031,-1984,1060,-1140
2023-03-22T14:29:16.747Z,log,acc,14160400,-1242,-8391,55
2023-03-22T14:29:16.747Z,log,gyro,14160400,-2055,976,-1169
2023-03-22T14:29:16.747Z,log,mag,14160491,-371,-445,16
2023-03-22T14:29:16.747Z,log,acc,14169738,-1269,-8379,119
2023-03-22T14:29:16.747Z,log,gyro,14169738,-2130,779,-1112
2023-03-22T14:29:16.768Z,log,acc,14179107,-1259,-8372,144
2023-03-22T14:29:16.768Z,log,gyro,14179107,-2200,518,-981
2023-03-22T14:29:16.768Z,log,acc,14188476,-1207,-8369,99
2023-03-22T14:29:16.768Z,log,gyro,14188476,-2250,257,-783
2023-03-22T14:29:16.787Z,log,acc,14197814,-1204,-8578,-5
2023-03-22T14:29:16.787Z,log,gyro,14197814,-2261,51,-542
2023-03-22T14:29:16.787Z,log,mag,14197906,-368,-456,15
2023-03-22T14:29:16.787Z,log,acc,14207183,-1252,-8817,-160
2023-03-22T14:29:16.791Z,log,gyro,14207183,-2252,-15,-320
2023-03-22T14:29:16.807Z,log,acc,14216522,-1306,-8940,-337
2023-03-22T14:29:16.807Z,log,gyro,14216522,-2230,106,-199
2023-03-22T14:29:16.807Z,log,acc,14225891,-1383,-8974,-448
2023-03-22T14:29:16.807Z,log,gyro,14225891,-2199,381,-200
2023-03-22T14:29:16.828Z,log,acc,14235260,-1433,-9001,-464
2023-03-22T14:29:16.828Z,log,gyro,14235260,-2158,736,-311
2023-03-22T14:29:16.828Z,log,mag,14235351,-360,-458,28
2023-03-22T14:29:16.828Z,log,acc,14244598,-1549,-9084,-405
2023-03-22T14:29:16.832Z,log,gyro,14244598,-2109,1077,-480
2023-03-22T14:29:16.832Z,log,acc,14253967,-1697,-9043,-378
2023-03-22T14:29:16.832Z,log,gyro,14253967,-2040,1294,-665
2023-03-22T14:29:16.847Z,log,acc,14263305,-1807,-8975,-380
2023-03-22T14:29:16.847Z,log,gyro,14263305,-1904,1358,-823
2023-03-22T14:29:16.847Z,log,acc,14272674,-1953,-9187,-492
2023-03-22T14:29:16.847Z,log,gyro,14272674,-1728,1345,-945
2023-03-22T14:29:16.847Z,log,mag,14272766,-353,-457,34
2023-03-22T14:29:16.867Z,log,acc,14282012,-2012,-9741,-734
2023-03-22T14:29:16.867Z,log,gyro,14282012,-1585,1353,-1048
2023-03-22T14:29:16.867Z,log,acc,14291381,-1782,-10065,-913
2023-03-22T14:29:16.867Z,log,gyro,14291381,-1398,1556,-976
2023-03-22T14:29:16.887Z,log,acc,14300750,-2164,-10405,-996
2023-03-22T14:29:16.887Z,log,gyro,14300750,-1364,2101,-770
2023-03-22T14:29:16.887Z,log,acc,14310089,-2622,-10537,-1160
2023-03-22T14:29:16.887Z,log,gyro,14310089,-1527,2733,-756
2023-03-22T14:29:16.887Z,log,mag,14310180,-351,-459,37
2023-03-22T14:29:16.907Z,log,acc,14319458,-2997,-10264,-1184
2023-03-22T14:29:16.907Z,log,gyro,14319458,-1458,3342,-869
2023-03-22T14:29:16.907Z,log,acc,14328796,-2829,-9585,-1070
2023-03-22T14:29:16.907Z,log,gyro,14328796,-1286,3793,-1076
2023-03-22T14:29:16.927Z,log,acc,14338165,-2696,-9214,-1082
2023-03-22T14:29:16.927Z,log,gyro,14338165,-1227,4097,-1118
2023-03-22T14:29:16.927Z,log,acc,14347534,-2810,-9367,-1201
2023-03-22T14:29:16.927Z,log,gyro,14347534,-1099,4338,-910
2023-03-22T14:29:16.927Z,log,mag,14347625,-342,-471,42
2023-03-22T14:29:16.948Z,log,acc,14356872,-2732,-9688,-1580
2023-03-22T14:29:16.948Z,log,gyro,14356872,-877,4630,-612
2023-03-22T14:29:16.948Z,log,acc,14366241,-2881,-8995,-1596
2023-03-22T14:29:16.948Z,log,gyro,14366241,-762,4972,-361
2023-03-22T14:29:16.948Z,log,acc,14375579,-2894,-8296,-1531
2023-03-22T14:29:16.948Z,log,gyro,14375579,-790,5388,-134
2023-03-22T14:29:16.966Z,log,acc,14384948,-2761,-8454,-1298
2023-03-22T14:29:16.966Z,log,gyro,14384948,-808,5682,223
2023-03-22T14:29:16.966Z,log,mag,14385040,-336,-487,38
2023-03-22T14:29:16.989Z,log,acc,14394317,-2783,-8877,-1148
2023-03-22T14:29:16.989Z,log,gyro,14394317,-852,5688,741
2023-03-22T14:29:16.989Z,log,acc,14403656,-3027,-9287,-1095
2023-03-22T14:29:16.989Z,log,gyro,14403656,-862,5597,1438
2023-03-22T14:29:16.989Z,log,acc,14413024,-3325,-9564,-1119
2023-03-22T14:29:16.989Z,log,gyro,14413024,-1004,5447,2236
2023-03-22T14:29:17.007Z,log,acc,14422363,-3726,-9998,-1593
2023-03-22T14:29:17.007Z,log,gyro,14422363,-1192,5400,3009
2023-03-22T14:29:17.007Z,log,mag,14422454,-335,-500,39
2023-03-22T14:29:17.007Z,log,acc,14431732,-4291,-10494,-2145
